Source,Target
455207,8966
470044,455207
455207,392044
489931,75656
489931,269795
489931,209247
489931,37797
489931,13665
569547,157353
569547,62
569547,78
569547,264660
569547,335984
424694,316029
316029,424
316029,769
487558,316029
334543,316029
263115,155
263115,1924
263115,272
263115,141052
263115,1452
24021,8966
50619,8966
466282,8966
43923,8966
24418,8966
454227,769
454227,640
454227,424
454227,389015
454227,396371
429203,75656
429203,339403
429203,359412
429203,507
429203,8270
440161,3090
440161,510
440161,8966
440161,281957
465136,440161
345887,273481
273481,979
273481,4771
273481,8090
273481,479
449459,197
449459,627
449459,399402
449459,97370
449459,428399
472734,9880
472734,8966
472734,454983
472734,465136
472734,449176
242582,9654
242582,218
396371,242582
449443,242582
242582,64690
286217,568
286217,157336
286217,667
395992,286217
369972,286217
98566,272
40662,272
9738,272
559,272
417261,9339
503616,417261
417261,396371
417261,194662
417261,157336
472451,449176
472451,26280
472451,26933
472451,376867
472451,184352
451925,13
451925,38
451925,398818
451925,817
451925,76726
460071,396371
460071,1955
460071,769
460071,640
460071,424
150540,12092
150540,812
260513,150540
326359,150540
150540,11360
399055,9738
399055,150689
399055,381284
440298,399055
399055,36647
467952,205596
449176,205596
205596,10139
205596,184352
205596,424
216015,12689
216015,8966
466282,216015
216015,43923
216015,9813
340613,843
340666,340613
346685,340613
340613,8999
340613,11004
49026,272
209112,49026
382322,49026
487670,49026
412862,371608
412862,39874
412862,10781
412862,1696
412862,948
150689,10882
150689,809
150689,5393
150689,2312
150689,11224
244786,769
244786,74997
398181,244786
281957,244786
381288,244786
449176,398818
398818,26371
424694,398818
398818,376867
398818,84892
537996,14128
537996,10156
537996,9394
537996,995
537996,872
440472,10098
440472,404245
500475,4771
500475,8012
500475,398181
500475,17494
500475,38842
329865,126889
329865,157336
384521,329865
329865,348
329865,828
194662,98566
194662,1927
194662,155
194662,14
194662,272
345887,168259
281957,168259
168259,3134
395834,168259
168259,156022
24021,18239
50619,18239
36648,18239
50620,18239
49017,18239
16869,857
16869,424
16869,637
369885,16869
228150,16869
157336,119450
119450,76341
119450,61791
119450,63
119450,1979
449176,419743
419743,184352
419743,126331
419743,26280
419743,10139
65754,350
9880,350
600,350
8966,350
2501,350
335984,61791
500664,61791
61791,604
61791,605
336843,11324
392044,11324
75780,11324
181283,11324
101299,11324
468362,10661
468362,26428
468362,85
468362,564
468362,691
502682,451480
502682,5951
502682,125255
502682,448514
296096,8966
466282,296096
296096,43923
339984,296096
296096,12689
460019,455980
455980,353486
489931,455980
470229,455980
455980,4922
429351,281957
429351,193756
429351,8966
465136,429351
449176,429351
68718,272
68718,862
68718,600
438145,68718
400535,68718
75656,1124
291805,1124
44214,1124
1124,675
1491,1124
483184,345887
483184,357096
483184,281957
483184,458594
483184,74997
438145,281957
438145,345887
438145,311
438145,101
106646,4771
400535,106646
261023,106646
429733,106646
106646,979
50620,24021
50620,49017
50620,50619
50620,36648
458737,359940
458737,324786
458737,458594
458737,346685
481117,369192
481117,45317
481117,769
481117,168672
481117,396371
372058,8392
372058,4011
372058,270303
372058,81
372058,9323
438590,264660
264660,644
264660,2048
264660,62
264660,9738
449176,376867
449176,26280
449176,152584
511785,449176
50619,24021
49017,24021
500919,15069
500919,984
500919,10651
500919,75780
500919,807
454652,340613
454652,443009
487558,454652
454652,451915
454652,363676
369885,228150
228150,857
228150,1771
228150,424
374720,228150
340613,77877
398181,77877
281957,77877
77877,4148
336843,77877
120467,539
120467,311
340613,120467
120467,97630
120467,843
419831,1927
419831,10195
419831,155
419831,272
419831,49521
334543,769
334543,424
467952,334543
312221,307081
319888,312221
312221,9443
312221,60308
312221,2323
341174,22705
341174,84892
341174,74997
341174,9540
341174,101299
290595,58595
290595,808
290595,809
290595,767
290595,15472
359940,600
398181,359940
395834,359940
359940,281957
359940,345887
222935,10229
222935,90369
222935,9880
449176,222935
308369,222935
339103,769
339103,261023
339103,10651
339103,156022
396371,339103
470894,44912
474395,470894
470894,9738
470894,155
470894,272
44214,8834
244786,44214
82693,44214
44214,949
486947,11001
486947,6933
486947,1256
486947,21240
486947,406162
294254,72190
336843,72190
131631,72190
198663,72190
82654,72190
220882,198663
220882,157350
220882,78
336843,220882
220882,101299
374720,324786
374720,676
374720,369885
374720,424
346672,12437
346672,24
346672,140300
346672,834
346672,7131
398818,391713
391713,273153
391713,9813
391713,376867
426613,391713
487558,381284
381284,369972
381284,50014
381284,10734
381284,424
392044,4176
392044,75780
392044,2275
392044,60670
392044,281957
340674,340613
340674,340666
340674,4347
340674,34584
340674,267192
395834,281957
281957,994
281957,3134
336843,281957
398181,281957
254128,11123
479475,254128
254128,80278
254128,8656
254128,2034
464502,74997
464502,281957
464502,458594
464502,10781
464502,37835
147441,9837
381284,147441
487558,147441
414425,147441
147441,16366
171274,10734
171274,9880
171274,769
171274,1949
171274,8966
65754,60670
75780,65754
395834,65754
392044,65754
425972,76341
425972,405774
425972,8810
425972,297762
443463,425972
489927,400928
489927,334
489927,1427
489927,9428
489927,11393
157336,49047
49047,62
395992,49047
286217,49047
369972,49047
273248,120
273248,44115
273248,253412
273248,9350
273248,458
281338,101299
336843,281338
281338,262500
281338,131631
281338,262504
470229,133805
470229,3597
470229,8090
470229,1949
470229,948
406997,1265
442062,406997
406997,73
406997,948
406997,346364
572238,10527
572238,270946
572238,10258
572238,433
572238,80321
385360,281957
385360,562
395834,385360
385360,238636
385360,345887
313369,525
313369,10947
313369,2976
313369,6477
313369,705
429417,416234
429417,565
429417,2655
429417,1903
429417,110415
487670,141052
487670,1924
487670,1452
487670,49521
487670,8536
457136,424
457136,769
487558,457136
457136,334543
457136,396371
395841,357096
395841,75780
395841,4771
395841,395834
395841,392044
530154,138100
537996,530154
530154,429417
530154,14128
530154,513347
152601,604
152601,605
335984,152601
500664,152601
152601,38
476292,297762
476292,378064
476292,326359
476292,52371
476292,273153
58595,408
385448,58595
58595,129
58595,411
49017,36647
228150,49017
400155,49017
49017,12437
49017,7131
112160,14
449176,112160
112160,53932
112160,17130
112160,86331
459910,627
459910,2034
459910,1900
459910,253
459910,438808
169917,4771
169917,769
398181,169917
169917,8012
169917,37645
1903,38
261470,38
50544,38
521,38
77,38
401469,388
401469,339403
402900,401469
531593,401469
520360,401469
228150,388
531593,388
1771,388
562,388
424,388
443009,389015
443009,324786
487558,443009
451915,443009
443009,363676
503346,9555
503346,602
503346,137113
503346,8810
503346,26405
395991,228150
395991,49017
395991,2924
395991,122
395991,707
453201,2501
453201,350
453201,424
453201,8966
453201,336843
462919,64255
462919,224141
462919,621
462919,429417
462919,2976
443463,8966
443463,398181
443463,414425
443463,12689
466282,443463
396371,389015
389015,424
389015,769
487558,389015
315837,9323
315837,782
315837,65754
500664,315837
315837,603
324786,616
324786,746
324786,424
324786,769
72570,1903
72570,2501
458594,72570
346685,72570
72570,77
11130,4974
400617,11130
46705,11130
16642,11130
311291,11130
413362,396371
396371,1645
396371,754
396371,640
17979,13188
17979,13377
17979,8871
17979,1585
25842,17979
87827,700
87827,10527
205775,87827
87827,9836
87827,551
400579,433
400579,303991
400579,2758
400579,277216
400579,425
433498,769
433498,424
433498,334543
467952,433498
487558,433498
489929,10719
489929,1927
489929,1949
489929,2034
569872,489929
10693,652
57165,652
18823,652
11527,652
188207,652
400617,9339
400617,1367
400617,170
400617,4148
400617,1597
398181,8012
398181,769
398181,133805
68724,604
68724,605
68724,2048
500664,68724
68724,603
62764,58595
62764,408
290595,62764
62764,60304
62764,9092
278927,9502
278927,116149
278927,34584
346648,278927
373571,124905
124905,1682
315011,124905
124905,15766
124905,7191
446354,891
446354,10139
446354,424
446354,769
487558,446354
395834,8090
395834,10651
395834,345887
395834,75780
467952,449176
467952,424
467952,424694
467952,289222
419478,4951
419478,315635
419478,9880
419478,76726
449176,419478
395834,384680
396373,384680
384680,581
384680,281957
384680,8584
396371,307081
307081,70
307081,5925
307081,60308
414191,15021
414191,565
428449,414191
414191,10559
519247,414191
205587,1645
205587,389
396371,205587
314365,205587
413362,205587
514407,458737
514407,310
514407,324786
514407,16366
514407,1023
554600,201088
554600,56292
554600,49026
554600,36955
554600,267860
341006,64690
64690,769
74997,64690
294963,64690
64690,1991
335797,260514
335797,258509
335797,9598
335797,9836
335797,9986
458594,4922
4922,510
4922,956
334541,4922
458737,4922
406990,75780
406990,2275
406990,782
406990,949
406990,984
274857,19957
274857,18937
274857,762
274857,6520
274857,11527
80278,682
80278,10222
80278,13184
345923,80278
80278,33196
77338,44564
77338,13
77338,489
77338,68718
77338,862
392044,207932
281957,207932
207932,133805
207932,4771
445954,207932
75780,4771
357096,75780
75780,2275
75780,11423
75780,37645
11224,1417
10882,1417
426543,1417
224141,1417
1417,812
448776,769
448776,10734
448776,107846
448776,5925
448776,1368
37645,1422
10651,1422
1422,96
4771,1422
8012,1422
340666,222935
340666,12689
340666,8966
340666,562
396461,627
396461,396371
396461,949
396461,426
396461,90
399404,424
399404,746
399404,637
467952,399404
399404,324786
57165,53182
53182,18823
53182,37958
53182,10323
188207,53182
6977,4836
6977,101
10651,6977
6977,189
59967,6977
49521,20533
209112,20533
141052,20533
297762,20533
20533,155
395992,2067
395992,157336
395992,126889
395992,348
168672,769
168672,1422
168672,8012
168672,754
168672,10651
381283,769
442249,381283
475210,381283
500919,381283
395834,381283
1452,561
1487,561
561,155
561,272
297762,561
353326,340027
353326,205596
353326,334543
353326,1955
353326,453
76203,8619
76203,19067
339408,76203
407806,76203
468210,76203
401905,198663
401905,157350
401905,101299
401905,2048
401905,336843
11036,1366
11036,1246
11036,7555
11036,1494
11232,11036
569584,14621
569584,413750
569584,287236
9339,924
9339,1597
264644,9339
82703,9339
9339,334
249070,787
1620,787
2501,787
787,667
956,787
16995,1949
10651,1949
12150,1949
1949,984
4638,1949
465136,401905
465136,336843
465136,321612
465136,70160
476926,465136
283366,1452
283366,8536
283366,9531
297762,283366
283366,9738
440298,24420
440298,13
440298,235
440298,1903
440298,272693
376660,76726
449176,76726
85350,76726
286565,76726
76726,9276
346685,64682
64682,27066
64682,4148
64682,1259
64682,8966
152532,9800
502220,152532
152532,10139
398818,152532
345920,334541
428449,334541
493922,334541
334541,16619
395990,4771
395990,64689
395990,1572
395990,562
395990,10651
4982,769
4982,272
4982,2034
138832,4982
4982,4836
309242,265208
265208,8065
265208,32044
265208,524
265208,8052
96721,60308
369192,96721
96721,2323
96721,11287
96721,22881
272693,82693
286565,82693
82693,14313
82693,9880
82693,8966
407448,281957
407448,26390
407448,10651
407448,101
407448,1949
224141,41233
41233,11224
41233,14128
41233,10882
41233,8587
520360,399170
399170,339403
399170,949
399170,623
399170,298
401104,9388
401104,1967
401104,883
401104,10149
401104,44706
7220,272
7220,1452
7220,1924
7220,1927
7220,155
347984,657
347984,646
347984,667
347984,708
347984,253
201088,37799
65754,37799
37799,97
368031,37799
115782,37799
437586,8363
449176,437586
437586,85350
437586,11887
437586,9880
44115,10559
44115,568
44115,2501
76341,44115
44115,27578
241554,10651
345887,241554
281957,241554
241554,979
241554,984
446791,345887
446791,74997
446791,8090
446791,769
446791,424121
314365,11931
314365,389
396371,314365
446354,314365
363676,2567
363676,10559
363676,87502
363676,568
487558,363676
28178,13
28178,489
68718,28178
28178,862
397422,28178
293863,1024
293863,24420
293863,19913
293863,44564
293863,1259
122081,57214
122081,979
122081,11931
122081,9777
122081,86838
65754,15472
315837,15472
397837,15472
101299,15472
297762,15472
389015,45317
396371,45317
45317,1578
319888,45317
4347,637
4347,510
4347,387
4347,424
4347,111
2567,769
2567,424
152532,2567
389015,2567
2502,2501
2502,562
2503,2502
2502,769
8961,2502
311291,787
400579,311291
340613,311291
311291,521
122906,13
122906,433
122906,141
122906,35
122906,118
467952,339380
339380,152532
424694,339380
339380,273153
339380,9813
109491,10140
449176,109491
109491,68737
109491,673
109491,674
146233,37645
345887,146233
146233,984
146233,4771
146233,11423
1371,70
1374,70
1367,70
1375,70
396371,70
487558,266856
443009,266856
451915,266856
363676,266856
266856,424
489925,12689
489925,376660
489925,9779
489925,411741
489925,33217
109424,1865
109424,58
381288,109424
298250,109424
156022,109424
184125,44639
184125,50839
318846,184125
184125,13020
184125,22074
274870,126889
274870,157336
274870,348
274870,8077
286217,274870
6479,604
6479,605
6479,534
500664,6479
157350,6479
281957,68730
101299,68730
336843,68730
68730,8966
68730,769
296524,5919
296524,568
296524,7191
296524,11228
296524,2320
379149,281957
379149,238636
379149,345887
379149,133805
379149,74997
45269,858
45269,1165
45269,38050
45269,838
45269,9526
62835,311
62835,8587
62835,185
62835,120
62835,2454
346685,2501
346685,8834
346685,77
13223,311
345887,13223
245891,13223
13223,1103
277216,13223
371638,8966
371638,10734
371638,9880
371638,769
371638,424
385332,101
385332,345887
385332,281957
385332,11713
385332,311
345920,74997
473149,345920
345920,238636
345920,8913
82695,3131
82695,1894
82695,3933
82695,16563
82695,975
10184,38
261470,10184
10184,8390
451925,10184
111969,10184
551095,536176
536176,419546
536176,422261
536176,462963
536176,490773
339692,338766
429200,338766
338766,1696
338766,14854
338766,475
413362,18587
445954,413362
413362,4771
413362,1266
413362,75780
339692,4771
339692,10651
345887,339692
339692,2749
339692,979
273481,9509
345887,9509
460321,9509
9509,9335
9509,275
505192,20352
505192,150689
505192,399055
505192,334074
505192,278927
518452,273153
518452,9813
518452,258480
518452,370663
518452,634
38543,1495
26175,1495
10786,1495
39382,1495
272099,1495
1491,155
1491,812
1491,272
1491,1452
1924,1491
281957,75174
244316,75174
290512,75174
439015,75174
258216,22705
258216,249397
258216,112160
258216,122081
258216,4247
318846,424
318846,769
487558,318846
334543,318846
396371,318846
390062,314095
314095,120
314095,278927
314095,10734
314095,10140
507419,1969
507419,10569
507419,500919
507419,429203
507419,416160
7345,2034
7345,73
372343,7345
7345,7090
7345,90
44826,2268
44826,9880
44826,11224
44826,8966
44826,411
7978,111
7978,2675
7978,1562
7978,425
7978,433
511785,376867
376867,258480
376867,26280
376867,11421
391757,8456
345887,8456
11713,8456
133805,8456
9053,8456
324786,14047
443009,14047
487558,14047
451915,14047
424694,14047
8090,2026
345887,2026
2026,562
2026,275
74997,2026
10139,142
745,142
449176,142
424694,142
376867,142
339988,157353
339988,62
339988,264660
339988,296
339988,13027
13811,11336
13811,10424
13811,12554
171540,13811
39857,13811
446696,400579
446696,10160
446696,95610
446696,9381
446696,6280
500664,83542
83542,604
83542,605
83542,76341
335984,83542
513574,44214
513574,10560
513574,1788
513574,9762
513574,20497
196867,11224
224141,196867
196867,150689
407655,196867
196867,14128
289222,424
289222,423
289222,15764
289222,228150
289222,637
152532,68734
424694,68734
266856,68734
300671,68734
277216,68734
9762,634
9762,858
20497,9762
11631,9762
110415,185
110415,280
281957,110415
110415,49049
110415,9482
8065,489
8065,161
8065,207
76726,8065
8065,524
8328,65
8328,650
44214,8328
16136,8328
277216,8328
369523,273153
369523,9813
369523,634
376867,369523
426613,369523
449176,426613
426613,84892
426613,10818
472451,426613
426613,376867
82693,46705
311291,46705
46705,521
46705,676
46705,16619
392044,372343
372343,281957
381034,372343
372343,4771
372343,60670
295011,170
295011,72190
336843,295011
295011,1562
295011,747
339877,306819
339877,8619
339877,17979
339877,281957
339877,59436
300671,424
467952,300671
324786,300671
402298,300671
300671,9331
493006,44251
493006,39107
493006,39108
493006,28609
493006,34433
149465,121046
149467,121046
147371,121046
149468,121046
274857,121046
1372,350
65754,1372
2024,1372
1372,616
9381,1372
256591,272
256591,1124
291805,256591
256591,36647
256591,10141
281957,12201
74997,12201
15069,12201
12201,984
12201,11423
376290,50456
376290,3525
376290,347033
376290,15472
376290,297762
493551,612
493551,10661
493551,769
493551,640
493551,424
20497,433
20497,634
20497,20352
342473,20497
324542,154400
154400,769
156022,154400
154400,9679
241554,154400
2503,2501
9331,2503
8834,2503
4771,2503
156022,186
261023,186
15542,186
10651,186
769,186
61979,22971
109689,22971
22971,13
281957,22971
449176,22971
302946,59967
302946,136795
400579,302946
395990,302946
302946,629
397422,521
397422,8012
397422,13
397422,747
397422,489
39254,2048
39254,604
39254,605
157336,39254
44833,39254
123553,7131
123553,24021
123553,50619
123553,8966
123553,18239
11679,955
11679,1927
399402,11679
11679,935
11679,9331
515916,152532
515916,226
515916,398818
515916,467952
515916,419743
152760,423
152760,424
369885,152760
228150,152760
289222,152760
418827,53932
418827,345
418827,10068
418827,74997
418827,9540
496328,324786
496328,443009
496328,487558
496328,451915
496328,424694
449176,306819
306819,84892
306819,59436
306819,2501
306819,350
428449,345920
428449,11931
428449,8913
428449,439
